	Jan-18	Feb-18	Mar-18	Apr-18	May-18	Jun-18	Jul-18	Aug-18	Sep-18	Oct-18	Nov-18	Dec-18	FY	
Austria	28,568	26,499	35,407	31,821	32,551	38,015	31,476	34,227	17,194	22,513	23,604	19,193	341,068	
Belgium	56,869	50,257	58,431	54,602	54,999	56,211	42,771	54,437	27,145	36,894	33,819	23,197	549,632	
Bulgaria	2,650	2,761	3,631	3,107	3,630	3,895	3,054	3,243	2,686	2,898	3,057	2,894	37,506	
Croatia	3,706	3,840	6,293	7,046	8,758	8,586	5,738	3,200	2,906	4,007	3,549	2,412	60,041	
Czech Republic	23,219	20,201	24,453	24,259	25,720	25,932	21,638	27,830	14,532	19,704	19,283	14,666	261,437	
Denmark	19,900	17,270	19,766	18,715	22,553	22,499	16,447	20,724	12,004	16,659	17,907	13,914	218,358	
Estonia	2,504	1,992	2,333	2,466	2,652	2,630	2,256	2,721	1,573	1,778	2,120	1,272	26,297	
Finland	13,588	9,112	11,728	11,045	12,479	11,663	9,580	12,005	6,527	7,934	8,662	6,157	120,480	
France	156,846	168,893	231,103	187,390	191,702	252,216	175,392	150,390	148,750	173,798	171,611	165,390	2,173,481	
Germany	269,429	261,749	347,433	314,055	305,057	341,308	317,848	316,405	200,134	252,628	272,674	237,058	3,435,778	
Greece	8,885	6,838	11,053	10,498	12,467	12,571	9,124	7,718	4,922	7,125	6,893	5,337	103,431	
Hungary	8,894	9,967	12,761	12,054	12,874	14,206	12,045	12,934	8,887	10,922	11,372	9,685	136,601	
Ireland	37,024	17,012	17,728	8,053	6,056	1,251	26,958	5,921	3,192	1,689	645	142	125,671	
Italy	178,323	182,228	214,247	171,886	199,693	175,271	152,949	91,791	125,354	147,038	147,386	124,535	1,910,701	
Latvia	1,529	1,254	1,401	1,466	1,692	1,728	1,398	1,613	1,078	1,309	1,341	1,069	16,878	
Lithuania	2,109	1,600	2,759	3,125	3,132	3,213	2,767	3,299	2,272	2,816	2,837	2,453	32,382	
Luxembourg	4,352	4,565	5,365	5,371	5,358	5,627	4,929	4,187	2,592	4,297	3,528	2,615	52,786	
Netherlands	58,745	35,015	41,920	33,852	36,710	46,746	36,110	40,918	29,301	29,763	34,608	19,842	443,530	
Poland	46,209	42,155	51,710	44,856	42,341	46,113	46,090	56,578	27,190	39,807	43,082	45,204	531,335	
Portugal	14,509	20,812	27,908	21,481	23,634	26,217	19,987	15,361	12,786	13,951	15,500	16,181	228,327	
Romania1	11,744	8,777	8,122	7,629	11,555	12,241	15,210	28,546	2,771	6,736	8,303	9,285	130,919	
Slovakia	8,050	7,743	8,550	8,522	9,674	9,467	8,716	10,595	4,519	8,071	8,323	5,965	98,195	
Slovenia	6,188	4,891	6,774	6,090	6,622	6,645	5,549	4,914	4,716	4,992	4,590	3,144	65,115	
Spain	101,661	110,475	128,180	116,433	135,525	142,397	131,182	107,692	69,128	88,411	91,063	99,290	1,321,437	
Sweden	22,980	27,211	37,206	34,215	37,687	66,244	12,504	24,670	19,111	23,088	25,813	23,000	353,729	
United Kingdom	163,615	80,805	474,069	167,911	192,649	234,945	163,898	94,094	338,834	153,599	158,639	144,089	2,367,147	
EUROPEAN UNION	1,252,096	1,123,922	1,790,331	1,307,948	1,397,770	1,567,837	1,275,616	1,136,013	1,090,104	1,082,427	1,120,209	997,989	15,142,262	
Iceland	1,624	1,159	1,834	1,812	2,857	2,596	1,689	1,464	935	803	722	481	17,976	
Norway	9,207	10,191	14,401	14,055	13,046	15,845	9,611	14,524	10,620	11,655	12,313	12,461	147,929	
Switzerland	21,860	22,230	28,187	26,425	27,708	31,467	25,291	21,460	20,507	22,679	24,032	27,289	299,135	
EFTA	32,691	33,580	44,422	42,292	43,611	49,908	36,591	37,448	32,062	35,137	37,067	40,231	465,040	
EU + EFTA	1,284,787	1,157,502	1,834,753	1,350,240	1,441,381	1,617,745	1,312,207	1,173,461	1,122,166	1,117,564	1,157,276	1,038,220	15,607,302	
