Country:text,Battery electric vehicels (number):number,Plug-in hybrid electric vehicles (number):number,Battery electric vehicels (prc):number,Plug-in hybrid electric vehicles (prc):number,Total:number,Total registrations:number
Germany,60192,43370,1.72,1.24,103562,
Norway,60008,19226,42.41,13.59,79234,141.496
United Kingdom,37724,35193,1.64,1.53,72917,
Netherlands,58767,4561,14.9,1.16,63328,394.502
France,43678,18359,1.9,0.8,62037,
Sweden,15570,24810,4.46,7.11,40380,348.931
Spain,10209,7451,0.76,0.55,17660,
Belgium,8630,8937,1.58,1.64,17567,545.799
Italy,10643,6110,0.56,0.32,16753,
Portugal,6880,5773,3.1,2.6,12653,222.033
Austria,9077,2156,2.77,0.66,11233,327.823
Denmark,5478,3754,2.46,1.69,9232,222.562
Finland,1887,5864,1.73,5.38,7751,108.924
Ireland,3451,1362,2.94,1.16,4813,117.369
Hungary,1623,748,1.15,0.53,2371,141.148
Poland,1443,891,0.27,0.17,2334,532.62
Iceland,913,1204,7.99,10.53,2117,11.43
Romania,1503,400,0.94,0.25,1903,160.622
Luxembourg,962,907,1.79,1.68,1869,53.878
Czechia,660,513,0.27,0.21,1173,242.019
Slovenia,628,167,0.9,0.24,795,70.088
Cyprus,8,581,0.07,4.84,589,12.002
Slovakia,170,399,0.17,0.39,569,101.145
Greece,188,288,0.16,0.25,476,114.166
Bulgaria,293,70,0.87,0.21,363,33.509
Malta,205,48,2.68,0.63,253,7.659
Croatia,155,81,0.25,0.13,236,62.052
Lithuania,158,58,0.35,0.13,216,44.81
Estonia,77,26,0.28,0.1,103,27.219
Latvia,87,9,0.52,0.05,96,16.596
Switzerland,13197,22513,4.22,7.19,35710,312902
